Start,End,Minutos,Rental place,Return place
01/03/2024 06:08,01/03/2024 06:12,"3,98",Plaza de España,IES Mesa y Lopez
01/03/2024 06:18,01/03/2024 06:23,"4,90",Torre Woermann,C.C. El Muelle
01/03/2024 06:21,01/03/2024 06:31,"10,72",Paseo de Chil - Av. Escaleritas,Las Canteras - Luis Morote
01/03/2024 06:21,01/03/2024 06:42,"20,23",Mercado Central,San Telmo
01/03/2024 06:21,01/03/2024 06:42,"20,12",Mercado Central,San Telmo
01/03/2024 06:31,01/03/2024 06:41,"9,72",Plazoleta de Farray,Intermodal El Rincon
01/03/2024 06:35,01/03/2024 06:38,"3,20",Plaza OShanahan,Ayuntamiento
01/03/2024 06:38,01/03/2024 06:55,"16,78",IES Mesa y Lopez,Plaza de la feria 
01/03/2024 06:38,01/03/2024 06:46,"7,98",IES Mesa y Lopez,Torre Woermann
01/03/2024 06:45,01/03/2024 06:57,"12,43",IES Mesa y Lopez,Torre Woermann
01/03/2024 06:51,01/03/2024 06:53,"1,47",Plaza OShanahan,Plaza OShanahan
01/03/2024 06:53,01/03/2024 07:04,"10,68",Ayuntamiento,San Telmo
01/03/2024 06:53,01/03/2024 07:02,"8,47",Plaza OShanahan,Base Naval
01/03/2024 06:56,01/03/2024 07:02,"5,42",Plazoleta de Farray,Aparcamiento Sanapu
01/03/2024 06:58,01/03/2024 07:05,"6,52",Parque Santa Catalina,Autoridad portuaria
01/03/2024 06:59,01/03/2024 07:06,"7,00",Barranquillo Don Zoilo,Plaza de la feria 
01/03/2024 07:01,01/03/2024 07:46,"45,67",Cabildo de Gran Canaria,Plaza San Agustin
01/03/2024 07:08,01/03/2024 07:11,"3,63",Ayuntamiento,Plaza OShanahan
01/03/2024 07:10,01/03/2024 07:31,"21,72",C.C. El Muelle,San Cristobal
01/03/2024 07:10,01/03/2024 07:12,"1,85",Leon y Castillo,Plaza de la feria 
01/03/2024 07:13,01/03/2024 07:27,"14,83",San Bernardo,Ayuntamiento
01/03/2024 07:13,01/03/2024 07:23,"9,83",Paseo de Chil - Av. Escaleritas,San Telmo
01/03/2024 07:15,01/03/2024 07:23,"8,38",Teatro Perez Galdos,Obelisco
01/03/2024 07:15,01/03/2024 07:38,"22,25",Paseo de Chil - Av. Escaleritas,San Cristobal
01/03/2024 07:21,01/03/2024 07:28,"6,70",Plaza OShanahan,San Telmo
01/03/2024 07:25,01/03/2024 07:29,"3,82",Plaza de España,Base Naval
01/03/2024 07:27,01/03/2024 07:39,"12,78",Las Canteras - Luis Morote,Oficina de la Sitycleta
01/03/2024 07:31,01/03/2024 07:38,"6,95",San Bernardo,Plaza de la feria 
01/03/2024 07:32,01/03/2024 07:40,"8,23",Plaza de España,C.C. El Muelle
01/03/2024 07:33,01/03/2024 07:40,"7,78",Plazoleta de Farray,Paseo de Chil - Av. Escaleritas
01/03/2024 07:34,01/03/2024 07:39,"5,03",Plaza del Pilar,Plazoleta de Farray
01/03/2024 07:35,01/03/2024 07:44,"8,60",Plaza de España (elect.),Oficina Sitycleta (elect.)
01/03/2024 07:35,01/03/2024 07:54,"19,10",Plaza OShanahan,Ciudad de la Justicia
01/03/2024 07:36,01/03/2024 07:52,"15,92",Churruca,Gabinete Literario
01/03/2024 07:36,01/03/2024 08:02,"26,00",Plaza OShanahan,Muelle Deportivo
01/03/2024 07:36,01/03/2024 07:44,"7,42",IES Mesa y Lopez,Plaza del Pilar
01/03/2024 07:37,01/03/2024 07:41,"4,30",C.C. El Muelle,Torre Woermann
01/03/2024 07:37,01/03/2024 07:54,"17,35",Plaza del Pilar,Plaza OShanahan
01/03/2024 07:38,01/03/2024 07:43,"4,43",Plazoleta de Farray,C.C. El Muelle
01/03/2024 07:39,01/03/2024 07:43,"4,45",Plaza OShanahan,Obelisco
01/03/2024 07:43,01/03/2024 07:54,"11,45",Gabinete Literario,Plaza de la feria 
01/03/2024 07:43,01/03/2024 08:00,"16,98",Paseo de Chil - Av. Escaleritas,Plaza San Agustin
01/03/2024 07:44,01/03/2024 07:47,"3,33",Plaza del Pilar,Intermodal El Rincon
01/03/2024 07:44,01/03/2024 07:52,"7,87",Castillo de Mata (elect.),Canodromo
01/03/2024 07:47,01/03/2024 07:56,"8,87",Barranquillo Don Zoilo,Plaza de España
01/03/2024 07:47,01/03/2024 07:58,"10,10",Mercado Central,Plaza del Pilar
01/03/2024 07:48,01/03/2024 07:58,"10,03",Cabildo de Gran Canaria,Teatro Perez Galdos
01/03/2024 07:49,01/03/2024 08:16,"27,38",Churruca,San Cristobal
01/03/2024 07:50,01/03/2024 08:05,"15,10",Gabinete Literario,Oficina de la Sitycleta
01/03/2024 07:51,01/03/2024 07:59,"8,37",Muelle Deportivo,Obelisco
01/03/2024 07:51,01/03/2024 08:03,"11,97",Canodromo,Plaza de la feria 
01/03/2024 07:52,01/03/2024 08:11,"19,22",Parque Santa Catalina,San Telmo
01/03/2024 07:52,01/03/2024 07:57,"4,72",Parque del Estadio Insular,Oficina de la Sitycleta
01/03/2024 07:52,01/03/2024 08:07,"14,95",Las Canteras - Luis Morote,Plaza de la feria 
01/03/2024 07:53,01/03/2024 08:02,"8,78",Churruca,Castillo de la Luz
01/03/2024 07:53,01/03/2024 08:05,"11,38",Leon y Castillo,San Bernardo
01/03/2024 07:54,01/03/2024 08:00,"5,80",Torre Las Palmas,Plaza OShanahan
01/03/2024 07:54,01/03/2024 08:03,"8,62",Paseo de Chil - Av. Escaleritas,Las Canteras - Luis Morote
01/03/2024 07:54,01/03/2024 08:05,"10,35",Plaza de España (elect.),Plaza Manuel Becerra (elect.)
01/03/2024 07:55,01/03/2024 08:01,"5,75",Paseo de Chil - Av. Escaleritas,Mercado Central
01/03/2024 07:55,01/03/2024 08:02,"6,70",Plaza OShanahan,San Telmo
01/03/2024 07:56,01/03/2024 08:03,"6,58",Base Naval,IES Mesa y Lopez
01/03/2024 07:56,01/03/2024 08:02,"6,05",Obelisco,San Telmo
01/03/2024 07:57,01/03/2024 08:03,"6,03",Las Canteras - Luis Morote,Las Canteras - Luis Morote
01/03/2024 07:58,01/03/2024 08:10,"12,50",Plaza de España (elect.),Castillo de Mata (elect.)
01/03/2024 08:00,01/03/2024 08:09,"8,78",Plaza de la feria ,Oficina de la Sitycleta
01/03/2024 08:01,01/03/2024 08:08,"6,73",Cabildo de Gran Canaria,Leon y Castillo
01/03/2024 08:04,01/03/2024 08:52,"48,88",Las Canteras - Luis Morote,Las Canteras - Luis Morote
01/03/2024 08:05,01/03/2024 08:09,"4,18",Plaza del Pilar,Plazoleta de Farray
